date,title,content,url,previousDiscussionUrl,nextDiscussionUrl
2021.02.17T23:07,지수가 내일 좀더 내려 갈것 같다.,ㅋㅋ,https://finance.naver.com/item/board_read.nhn?code=005930&nid=164121418&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121432&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121390&st=&sw=&page=1
2021.02.17T23:08,삼전은 광신도들의 추종투자,왜 오른다고 신념하고 안오르면 스트레스를 받을까 왜 올라요?내려가지 않는 주식인가요?,https://finance.naver.com/item/board_read.nhn?code=005930&nid=164121432&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121554&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121418&st=&sw=&page=1
2021.02.17T23:09,폭락장되면 그때 매수해야된다. 지금은 추매X,지금 총알 다쓰면 정작 쓸때 못쓰면 낭패다.,https://finance.naver.com/item/board_read.nhn?code=005930&nid=164121554&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121603&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121432&st=&sw=&page=1
2021.02.17T23:10,나닥 1퍼 하락,폭락 조짐,https://finance.naver.com/item/board_read.nhn?code=005930&nid=164121603&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121635&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121554&st=&sw=&page=1
2021.02.17T23:11,존버다 여러분 존버만이 답입니다.,괜히 내리는거 보고 던졌다가 오를때 타서 맘고생 하지말고 . 존버 하십쇼,https://finance.naver.com/item/board_read.nhn?code=005930&nid=164121635&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121705&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121603&st=&sw=&page=1
2021.02.17T23:12,나스닥 개박살,이제 시작이다 삼전 7만원 실제다,https://finance.naver.com/item/board_read.nhn?code=005930&nid=164121705&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121821&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121635&st=&sw=&page=1
2021.02.17T23:14,밤사이 바이든한마디면 오른다,기대하자 바이든,https://finance.naver.com/item/board_read.nhn?code=005930&nid=164121821&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121990&st=&sw=&page=1,board_read.nhn?code=005930&nid=164122245&st=&sw=&page=1
2021.02.17T23:17,판사들 정말 쪽팔리겠다...,지들이 판결한 것으로 공격당하니 꼴 좋네... 얼마나 쪽 팔릴까나.... 같은 판사 입장에서도 열받겠네.... 그 판결한 판사놈 때문에 이런 수치스러운 꼴을 당해야 하니..... "법원이 발행한 인턴 증명서도 허위냐?" 쓰레기같은 판사들 때문에 아주 법원의 수준이 땅에 떨어졌구만.... 판사라고 고개나 쳐들고 다니겠냐? 쪽팔려서.....,https://finance.naver.com/item/board_read.nhn?code=005930&nid=164121990&st=&sw=&page=1,board_read.nhn?code=005930&nid=164122048&st=&sw=&page=1,board_read.nhn?code=005930&nid=164121821&st=&sw=&page=1
2021.02.17T23:18,판사들 정말 쪽팔리겠다...,판사들 정말 쪽팔리겠다...,https://finance.naver.com/item/board_read.nhn?code=005930&nid=164122048&st=&sw=&page=1,board_read.nhn?code=005930&nid=164122196&st=&sw=&page=1,board_read.nhn?code=005930&nid=164122071&st=&sw=&page=1
2021.02.17T23:20,7만전자 될텐데,아침부터 하락한다고 물타지마라 오전보다 더빠질거고 다시 상승하는척 개미꼬시다가 개미꼬이면 패대기.. 추매금지. 홀딩관망해라 개꼴깝치고 물타면 진짜골로간다.,https://finance.naver.com/item/board_read.nhn?code=005930&nid=164122196&st=&sw=&page=1,board_read.nhn?code=005930&nid=164122204&st=&sw=&page=1,board_read.nhn?code=005930&nid=164122048&st=&sw=&page=1
